shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,15,57,57,19935,12
Apartment,22,86,86,29902,18
AquaticAnimal,34,62,62,26594,16
Bed,56,76,76,36576,22
Bicycle,95,25,25,33295,20
Biplane,83,127,127,58183,35
Bird,66,126,126,53186,32
Bottle,41,85,85,34901,21
BuildingNonResidential,46,140,140,51506,31
Bus,16,56,56,19936,12
Car,218,190,190,113098,68
Cellphone,25,41,41,18285,11
Chess,150,90,90,66550,40
City,20,52,52,19940,12
ClassicPiano,6,30,30,9966,6
Computer,40,80,80,33240,20
ComputerKeyboard,7,17,17,6647,4
Cup,59,103,103,44879,27
DeskLamp,48,84,84,36568,22
DeskPhone,31,83,83,31571,19
Door,92,100,100,53212,32
Drum,5,25,25,8305,5
Fish,1,5,5,1661,1
FloorLamp,35,109,109,39875,24
Glasses,69,21,21,24969,15
Guitar,20,64,64,23260,14
Gun,86,178,178,73126,44
Hand,128,94,94,61548,37
Hat,21,45,45,18281,11
Helicopter,112,104,104,59872,36
House,35,103,103,38215,23
HumanHead,106,50,50,43266,26
Humanoid,385,245,245,174685,105
Insect,100,206,206,84760,51
Jet,334,230,230,156374,94
Knife,7,35,35,11627,7
MilitaryVehicle,28,62,62,24928,15
Monitor,19,59,59,21599,13
Monoplane,26,70,70,26586,16
Motorcycle,62,70,70,36582,22
Mug,34,86,86,33234,20
MultiSeat,82,164,164,68142,41
Musical_Instrument,21,69,69,24921,15
NonWheelChair,129,141,141,74829,45
PianoBoard,3,15,15,4983,3
PlantIndoors,104,166,166,74804,45
PlantWildNonTree,18,78,78,26578,16
Quadruped,104,142,142,68164,41
RectangleTable,115,155,155,74815,45
Rocket,21,69,69,24921,15
RoundTable,59,103,103,44879,27
Shelf,55,107,107,44875,27
Ship,81,159,159,66481,40
Sign,11,49,49,16611,10
Skyscraper,20,88,88,29900,18
Spoon,2,10,10,3322,2
Starship,27,105,105,36547,22
SubmachineGun,21,45,45,18281,11
Sword,163,83,83,68223,41
Tool,126,108,108,64866,39
Train,28,80,80,29908,18
Tree,37,77,77,31577,19
Truck,17,73,73,24917,15
TruckNonContainer,12,48,48,16612,10
Vase,25,77,77,28245,17
Violin,4,20,20,6644,4
Wheel,25,65,65,24925,15
WheelChair,18,54,54,19938,12
total,4111,5921,5921,2779631,1672
